"Name","Type","Position","Territory","Jurisdiction","Date_Designated","DOB","Nationality","Reference_ID","Programme"
"Kadyrov, Ramzan Akhmadovitch","Individual","President of the Republic of Chechnya","Crimea","UK (OFSI)","31/12/2020","05/10/1976","","13042","Russia (Sanctions) (EU Exit) Regulations 2019"
"Kapranova, Anastasiya Nikolayevna","Individual","Secretary of the Sevastopol City Election Commission","Crimea","UK (OFSI)","31/12/2020","dd/mm/1964 | 21/04/1964","Ukraine","13670","Russia (Sanctions) (EU Exit) Regulations 2019"
"Kiselyov, Dmitry Konstantinovich","Individual","Head of the Russian Federal State News Agency 'Rossiya Segodnya'.","Crimea","UK (OFSI)","31/12/2020","26/04/1954","Russia","12944","Russia (Sanctions) (EU Exit) Regulations 2019"
"Klishas, Andrei Aleksandrovich","Individual","Chair of Federation Council Committee on Constitutional Legislation and State Building","Crimea","UK (OFSI)","31/12/2020","09/11/1972","Russia","12914","Russia (Sanctions) (EU Exit) Regulations 2019"
"Konstantinov, Vladimir Andreevich","Individual","speaker of the Supreme Council of the Autonomous republic of Crimea","Crimea","UK (OFSI)","31/12/2020","19/11/1956","Russia","12923","Russia (Sanctions) (EU Exit) Regulations 2019"
"Kovalchuk, Yuriy Valentinovich","Individual","Major shareholder of Bank Rossiya and the National Media Group","Crimea","UK (OFSI)","31/12/2020","25/07/1951","Russia","13075","Russia (Sanctions) (EU Exit) Regulations 2019"
"Kovitidi, Olga Fedorovna","Individual","Member of the Federation Council Committee on Constitutional Legislation and Stage Building | Member, formerly the Russian Federation Council from the annexed Autonomous Republic of Crimea","Crimea","UK (OFSI)","31/12/2020","07/05/1962","Ukraine","12954","Russia (Sanctions) (EU Exit) Regulations 2019"
"Kozak, Dmitry Nikolayevich","Individual","Deputy Chief of Staff to the Presidential Executive Office | de facto chief Russian negotiator on Ukraine | Former Deputy Prime Minister","Crimea","UK (OFSI)","31/12/2020","07/11/1958","Russia","12950","Russia (Sanctions) (EU Exit) Regulations 2019"
"Kozenko, Andrei Dmitrievich","Individual","Current or Former Memeber of the State Duma.","Crimea","UK (OFSI)","31/12/2020","03/08/1981","Ukraine","13393","Russia (Sanctions) (EU Exit) Regulations 2019"
"Kozyura, Oleg Grigorievich","Individual","Was the acting Head of the Federal Migration Service office for Sevastopol when and after it was transferred from the Ukrainian government to the Russian government following the Crimean annexation.","Crimea","UK (OFSI)","31/12/2020","30/12/1965 | 19/12/1962","Ukraine","12969","Russia (Sanctions) (EU Exit) Regulations 2019"
"Kulikov, Valery Vladimirovich","Individual","A deputy of the Legislative Assembly of the city of Sevastopol | Former Deputy Commander of the Black Sea Fleet","Crimea","UK (OFSI)","31/12/2020","01/09/1956","Russia","12940","Russia (Sanctions) (EU Exit) Regulations 2019"
"LAVRIK, Valentina Vasilyevna","Individual","Minister of Education, Science and Youth for occupied Crimea.","Crimea","UK (OFSI)","19/11/2024","25/02/1969","Ukraine","16690","Russia (Sanctions) (EU Exit) Regulations 2019"
"LEBEDEV, Dmitri Alekseevich","Individual","Chairman of Board of Directors, Bank Rossiya","Crimea","UK (OFSI)","10/03/2022","30/03/1968","Russia","14215","Russia (Sanctions) (EU Exit) Regulations 2019"
"Lebedev, Igor Vladimirovich","Individual","Former Deputy Speaker, State Duma","Crimea","UK (OFSI)","31/12/2020","27/09/1972","Russia","13111","Russia (Sanctions) (EU Exit) Regulations 2019"
"Lebedev, Oleg Vladimirovich","Individual","Former First Deputy Chairman of the Committee on Relations with CIS Countries, Eurasian Integration and Links with Compatriots of the State Duma","Crimea","UK (OFSI)","31/12/2020","21/03/1964","Russia","13109","Russia (Sanctions) (EU Exit) Regulations 2019"
"Levichev, Nikolai Vladimirovich","Individual","Currently a member of the Central Election Commission | former Deputy Speaker, State Duma | Former member of the State Duma of the Russian Federation","Crimea","UK (OFSI)","31/12/2020","28/05/1953","Russia","13112","Russia (Sanctions) (EU Exit) Regulations 2019"
"MILLER, Alexei Borisovich","Individual","Deputy Chairman of the Board of Directors | Chairman of the Management Committee of GAZPROM","Crimea","UK (OFSI)","10/03/2022","31/01/1962","Russia","14216","Russia (Sanctions) (EU Exit) Regulations 2019"
"Malyshev, Mikhail Grigoryevich","Individual","Chair of the Crimea Electoral Commission","Crimea","UK (OFSI)","31/12/2020","10/10/1955","Ukraine","12933","Russia (Sanctions) (EU Exit) Regulations 2019"
"Melnikov, Ivan Ivanovich","Individual","First Deputy Speaker, State Duma","Crimea","UK (OFSI)","31/12/2020","07/08/1950","Russia","13110","Russia (Sanctions) (EU Exit) Regulations 2019"
"Menyailo, Sergei Ivanovich","Individual","Former Governor of Sevastopol | Former Plenipotentiary Representative of the President of the Russian Federation | Head of the North Ossetia-Alania Republic","Crimea","UK (OFSI)","31/12/2020","22/08/1960","Ukraine","12953","Russia (Sanctions) (EU Exit) Regulations 2019"
"Milchakov, Alexey Yurevich","Individual","Commander, 'Rusich' armed separatist unit","Crimea","UK (OFSI)","31/12/2020","30/04/1991","Russia","13200","Russia (Sanctions) (EU Exit) Regulations 2019"
"Muradov, Georgiy L'Vovich","Individual","So-called 'Deputy Prime Minister of Crimea' Other Information: He is plenipotentiary representative of Crimea to President Putin.","Crimea","UK (OFSI)","31/12/2020","19/11/1954","Russia","13099","Russia (Sanctions) (EU Exit) Regulations 2019"
"Naryshkin, Sergei Evgenevich","Individual","Former Speaker of the State Duma","Crimea","UK (OFSI)","31/12/2020","27/10/1954","Russia","12942","Russia (Sanctions) (EU Exit) Regulations 2019"
"Naumets, Aleksey Vasilevich","Individual","Deputy Chief of Staff of the Airborne Forces","Crimea","UK (OFSI)","31/12/2020","11/02/1968","Russia","13114","Russia (Sanctions) (EU Exit) Regulations 2019"
"Nemtsev, Vladimir Vladimirovich","Individual","Chair, 'Legislative Assembly of Sevastopol'","Crimea","UK (OFSI)","31/12/2020","15/11/1971","Russia","13810","Russia (Sanctions) (EU Exit) Regulations 2019"
"Neverov, Sergei Ivanovich","Individual","Deputy Chairman of the State Duma, United Russia faction","Crimea","UK (OFSI)","31/12/2020","20/12/1961","Russia","12956","Russia (Sanctions) (EU Exit) Regulations 2019"
"Nikitin, Vladimir Stepanovich","Individual","Chairman of the All-Russian public movement 'Russian Lad' ('РУССКИЙ ЛАД') | Member of the Presidium of the Central Committee of the Communist Party of the Russian Federation","Crimea","UK (OFSI)","31/12/2020","05/04/1948","Russia","13108","Russia (Sanctions) (EU Exit) Regulations 2019"
"OAO 'VO Technopromexport'","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13524","Russia (Sanctions) (EU Exit) Regulations 2019"
"OOO 'VO Technopromexport'","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13525","Russia (Sanctions) (EU Exit) Regulations 2019"
"Ovsyannikov, Dmitrii Vladimirovich","Individual","Former Governor of the City of Sevastopol | later Deputy Minister of Trade and Industry of the Russian Federation","Crimea","UK (OFSI)","31/12/2020","21/02/1977","Russia","13558","Russia (Sanctions) (EU Exit) Regulations 2019"
"PIMANOV, Aleksei Viktorovich","Individual","Director General of Managing Organisation Creative Association Red Star | Head of the Krasnaya Zvezda media holding","Crimea","UK (OFSI)","21/04/2022","09/02/1962","Russia","15298","Russia (Sanctions) (EU Exit) Regulations 2019"
"PJSC Mostotrest","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13701","Russia (Sanctions) (EU Exit) Regulations 2019"
"Petukhov, Aleksandr Yurievich","Individual","Former Deputy Head of the Sevastopol City Election Commission","Crimea","UK (OFSI)","31/12/2020","17/07/1970","Ukraine","13668","Russia (Sanctions) (EU Exit) Regulations 2019"
"Pligin, Vladimir Nikolaevich","Individual","Member of the Supreme Council of the United Russia Party","Crimea","UK (OFSI)","31/12/2020","19/05/1960","Russia","12967","Russia (Sanctions) (EU Exit) Regulations 2019"
"Pogorelov, Miroslav Yureyevich","Individual","Deputy Head of the Sevastopol City Election Commission","Crimea","UK (OFSI)","31/12/2020","07/06/1968","Ukraine","13669","Russia (Sanctions) (EU Exit) Regulations 2019"
"Poklonskaya, Natalia Vladimirovna","Individual","First Deputy Chairperson of the Committee for Security and countering corruption of the State Duma of the Russian Federation | Former Member of the State Duma of the Russian Federation elected from the illegally annexed Autonomous Republic of Crimea | Former Prosecutor of the so-called Republic of Crimea'","Crimea","UK (OFSI)","31/12/2020","18/03/1980","Russia","12977","Russia (Sanctions) (EU Exit) Regulations 2019"
"Public Joint Stock Company 'United Aircraft Corporation'","Entity","","Crimea","UK (OFSI)","24/02/2022","","","14186","Russia (Sanctions) (EU Exit) Regulations 2019"
"Public Joint Stock Company 'United Shipbuilding Corporation'","Entity","","Crimea","UK (OFSI)","24/02/2022","","","14189","Russia (Sanctions) (EU Exit) Regulations 2019"
"Pyrkova, Yekaterina Eduardovna","Individual","Secretary of the Sevastopol Central Electoral Commission","Crimea","UK (OFSI)","31/12/2020","22/08/1967","Russia","13807","Russia (Sanctions) (EU Exit) Regulations 2019"
"RESHETNIKOV, Maxim Gennadyevich","Individual","Minister of Economic Development of the Russian Federation; Member of the Supervisory Council of the VTB Bank, Member of the Presidium of the Commission on Scientific and technological Development of the Russian Federation.","Crimea","UK (OFSI)","15/03/2022","11/07/1979","Russia","14644","Russia (Sanctions) (EU Exit) Regulations 2019"
"ROTENBERG, Liliya Arkadyevna","Individual","Family associate (daughter of Arkady Romanovich ROTENBERG)","Crimea","UK (OFSI)","15/03/2022","17/04/1978","","14755","Russia (Sanctions) (EU Exit) Regulations 2019"
"ROTENBERG, Pavel Arkedyevich","Individual","Family associate (son of Arkady Romanovich ROTENBERG)","Crimea","UK (OFSI)","15/03/2022","20/02/2000","","14756","Russia (Sanctions) (EU Exit) Regulations 2019"
"Rashkin, Valery Fedorovich","Individual","First Deputy Chairman of the State Duma Committee on Ethnicity Issues","Crimea","UK (OFSI)","31/12/2020","14/03/1955","Russia","13217","Russia (Sanctions) (EU Exit) Regulations 2019"
"Razvozhaev, Mikhail","Individual","Acting 'Governor' of Sevastopol","Crimea","UK (OFSI)","31/12/2020","30/12/1980","Russia","13811","Russia (Sanctions) (EU Exit) Regulations 2019"
"Rogozin, Dmitry Olegovich","Individual","Former Deputy Prime Minister, Russian Federation","Crimea","UK (OFSI)","31/12/2020","21/12/1963","Russia","12935","Russia (Sanctions) (EU Exit) Regulations 2019"
"Romashkin, Ruslan Alexandrovich","Individual","Head of Service of the Control Point in the 'Republic of Crimea and City of Sevastopol' of the Federal Security Service of the Russian Federation","Crimea","UK (OFSI)","31/12/2020","15/06/1976","Russia","13783","Russia (Sanctions) (EU Exit) Regulations 2019"
"Russian National Commercial Bank","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13078","Russia (Sanctions) (EU Exit) Regulations 2019"
"Ryzhenkin, Leonid Kronidovich","Individual","Former deputy general director for infrastructure projects at Strogazmontazh (SGM)","Crimea","UK (OFSI)","31/12/2020","10/11/1967","","13927","Russia (Sanctions) (EU Exit) Regulations 2019"
"SHAPOVALOV, Oleg Georgevich","Individual","Minister of Justice of the Republic of Crimea","Crimea","UK (OFSI)","29/09/2023","14/07/1959","Ukraine","16101","Russia (Sanctions) (EU Exit) Regulations 2019"
"SHATOKHIN, Oleksii VOLODYMYROVYCH","Individual","Head of Service, Kerch City Branch of FSB in Crimea","Crimea","UK (OFSI)","31/12/2020","26/01/1971","Russia","13782","Russia (Sanctions) (EU Exit) Regulations 2019"
"SHEIN, Andrei BORISOVICH","Individual","Deputy Head of Department, Head of the Coast Guard of the FSB Border Control in Crimea","Crimea","UK (OFSI)","31/12/2020","10/06/1971","Russia","13779","Russia (Sanctions) (EU Exit) Regulations 2019"
"SHELOMOV, Mikhail Lvovich","Individual","Russian business owner","Crimea","UK (OFSI)","13/05/2022","07/01/1968","Russia","15383","Russia (Sanctions) (EU Exit) Regulations 2019"
"Saliaiev, Oleksii Mykhailovych","Individual","Commander of the Border Patrol Boat ‘Don’","Crimea","UK (OFSI)","31/12/2020","04/12/1975 | 22/08/1978","Russia","13780","Russia (Sanctions) (EU Exit) Regulations 2019"
"Savchenko, Svetlana Borisovna","Individual","Member of the State Duma, elected from the illegally annexed Autonomous Republic of Crimea.| Member of the Duma Committee on culture.","Crimea","UK (OFSI)","31/12/2020","24/06/1965","Ukraine","13394","Russia (Sanctions) (EU Exit) Regulations 2019"
"Savelyev, Oleg Genrikhovich","Individual","Former Minister for Crimean Affairs Federation","Crimea","UK (OFSI)","31/12/2020","27/10/1965","Russia","12952","Russia (Sanctions) (EU Exit) Regulations 2019"
"Shamalov, Nikolay Terentievich","Individual","a co-founder","Crimea","UK (OFSI)","31/12/2020","24/01/1950","Russia","13074","Russia (Sanctions) (EU Exit) Regulations 2019"
"Shamanov, Vladimir Anatolievich","Individual","Chairperson of the Defence Committee of the State Duma of the Russian Federation","Crimea","UK (OFSI)","31/12/2020","15/02/1957","Russia","12966","Russia (Sanctions) (EU Exit) Regulations 2019"
"Shcherbakov, Serhii Oleksiivich","Individual","Commander of the anti-submarine ship ‘Suzdal’","Crimea","UK (OFSI)","31/12/2020","02/11/1986","Russia","13784","Russia (Sanctions) (EU Exit) Regulations 2019"
"Sheremet, Mikhail Sergeyevich","Individual","Member of Russian State Duma elected for Crimea and former so-called ‘First Deputy Prime Minister’ of Crimea.","Crimea","UK (OFSI)","31/12/2020","23/05/1971","Ukraine","13100","Russia (Sanctions) (EU Exit) Regulations 2019"
"Shevchenko, Igor Sergeivich","Individual","Former prosecutor of the City of Sevastopol | Acting Attorney Sevastopol","Crimea","UK (OFSI)","31/12/2020","09/02/1979","Ukraine","12978","Russia (Sanctions) (EU Exit) Regulations 2019"
"Shypitsyn, Andrii","Individual","Commander of the Border Patrol Boat ‘Izumrud’","Crimea","UK (OFSI)","31/12/2020","25/12/1969","Russia","13781","Russia (Sanctions) (EU Exit) Regulations 2019"
"Sidorov, Anatoliy Alekseevich","Individual","Former Commander of Russia's Western Military District, units of which are deployed in Crimea","Crimea","UK (OFSI)","31/12/2020","02/07/1958","Russia","12931","Russia (Sanctions) (EU Exit) Regulations 2019"
"Sobol","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13053","Russia (Sanctions) (EU Exit) Regulations 2019"
"Stankevich, Sergey Nikolayevich","Individual","Head of Border Directorate of the Federal Security Service of the Russian Federation for 'Republic of Crimea and City of Sevastopol","Crimea","UK (OFSI)","31/12/2020","27/01/1963","Russia","13778","Russia (Sanctions) (EU Exit) Regulations 2019"
